"","game_id","team_name","x","y","end_y","end_z","player_id","surname","outcome","power","body_part","first_name","known_name"
"6900",756204,"Charlton Athletic",88.5,50,45.9,17.1,66774,"Buyens","goal","regular","right foot","Yoni",""
"6901",756112,"Brighton and Hove Albion",88.5,50,45.8,27.2,16047,"O'Grady","goal","regular","right foot","Chris",""
"6902",803555,"Birmingham City",88.5,50,51.4,10.8,42460,"Caddis","goal","strong","right foot","Paul",""
"6903",803579,"Bolton Wanderers",88.5,50,52.1,8.2,45196,"Madine","saved","regular","right foot","Gary",""
"6904",803588,"Queens Park Rangers",88.5,50,45.8,1.9,78356,"Austin","goal","regular","right foot","Charlie",""
"6905",803602,"Birmingham City",88.5,50,48.9,1.9,15789,"Donaldson","goal","regular","right foot","Clayton",""
"6906",803640,"Sheffield Wednesday",88.5,50,48.2,3.8,62492,"Nuhiu","goal","regular","right foot","Atdhe",""
"6907",803656,"Hull City",88.5,50,48.5,2.5,59856,"Hernández","saved","regular","left foot","Abel",""
"6908",803658,"Reading",88.5,50,47.8,1.9,40501,"Blackman","goal","regular","left foot","Nick",""
"6909",803687,"Leeds United",88.5,50,49.7,19,52806,"Antenucci","goal","regular","right foot","Mirco",""
"6910",803634,"Nottingham Forest",88.5,50,49.5,4.4,40564,"Lansbury","saved","regular","right foot","Henri",""
"6911",803741,"Middlesbrough",88.5,50,45.9,19,10460,"Leadbitter","goal","regular","right foot","Grant",""
"6912",803737,"Burnley",88.5,50,45.9,31,73426,"Gray","goal","regular","right foot","Andre",""
"6913",757621,"FC KÃ¸benhavn",88.5,50,54,4.4,42518,"Kacaniklic","goal","regular","left foot","Alexander",""
"6914",757618,"Esbjerg fB",88.5,50,45.7,17.7,89226,"Ankersen","goal","regular","right foot","Jakob",""
"6915",757644,"Esbjerg fB",88.5,50,49.6,1.9,89226,"Ankersen","goal","regular","right foot","Jakob",""
"6916",757680,"SÃ¸nderjyskE",88.5,50,45.7,19.6,43286,"Pourie","goal","regular","right foot","Marvin",""
"6917",757688,"SÃ¸nderjyskE",88.5,50,49.6,4.4,43286,"Pourie","saved","regular","right foot","Marvin",""
"6918",757727,"Esbjerg fB",88.5,50,54,8.9,13785,"Andreasen","goal","regular","right foot","Hans Henrik",""
"6919",757721,"Esbjerg fB",88.5,50,53.6,6.9,13785,"Andreasen","saved","regular","right foot","Hans Henrik",""
"6920",349252,"Huesca",88.4,49.7,54.3,25,14028,"Camacho Barnola","goal","regular","left foot","Juan Jos�",""
"6921",419995,"Huesca",88.3,50.2,46.9,11.1,14028,"Camacho Barnola","goal","regular","left foot","Juan Jos�",""
"6922",435931,"GimnÃ¡stic de Tarragona",88.5,50,46.5,2.8,49096,"Ortiz Ramos","goal","regular","right foot","Alejandro",""
"6923",478625,"Deportivo Guadalajara",88.5,50.1,48.5,27.8,16868,"Antón","goal","regular","right foot","�lvaro",""
"6924",478480,"Sabadell",88.5,50,46.1,11.4,90017,"Lanzarote","goal","regular","left foot","Manuel",""
"6925",481270,"Deportivo Guadalajara",88.5,50,46.5,5.1,47264,"Susaeta","goal","regular","right foot","N�stor",""
"6926",482279,"Numancia",88.5,50,54,5.7,78795,"Mabwati Gerard","goal","regular","right foot","Cedrick",""
"6927",487613,"AlmerÃ­a",88.5,50,53.9,10.8,86349,"Dias de Oliveira","goal","regular","right foot","Charles",""
"6928",732298,"Real JaÃ©n",88.5,50.2,47.4,13.9,88777,"Mejía Ruiz","goal","regular","right foot","Jonathan",""
"6929",748796,"Sporting de GijÃ³n",88.5,50,53.7,8.9,76664,"Scepovic","goal","regular","right foot","Stefan",""
"6930",775397,"Llagostera",88.5,50,46,1.9,87929,"Imaz","goal","regular","right foot","Jes�s",""
"6931",751583,"Lugo",88.5,50,54.1,1.9,88537,"Rodríguez Morgade","goal","regular","left foot","Jos� Manuel",""
"6932",775389,"Llagostera",88.5,50,46.8,1.9,55325,"Ríos","goal","regular","left foot","Jos� Antonio",""
"6933",775389,"Ponferradina",88.5,50,49.4,5.1,11350,"Barrera Reyes","goal","regular","right foot","Acor�n",""
"6934",775419,"Albacete",88.5,50,49.5,5.7,54264,"Díaz Martínez","goal","regular","right foot","C�sar",""
"6935",775413,"Mallorca",88.5,49.9,53.7,10.1,54301,"Arana","goal","regular","right foot","Manuel",""
"6936",750785,"Sabadell",88.5,50,51.9,7.6,88516,"Zurdo Rodríguez","goal","regular","right foot","An�bal",""
"6937",775403,"Ponferradina",88.5,50,45.9,15.2,87763,"de Souza Fonseca","goal","regular","right foot","Yuri",""
"6938",775427,"Recreativo",88.5,50,46.6,12.7,38173,"Vázquez Muñoz","goal","regular","left foot","Antonio Jes�s",""
"6939",775420,"Real Betis",88.6,49.9,46.6,2.5,20680,"Castro","goal","regular","right foot","Rub�n",""
"6940",775432,"Barcelona B",88.5,50,53.8,1.9,108438,"Ramírez","goal","regular","right foot","Sandro",""
"6941",775437,"Albacete",88.5,50,53.9,0.6,54264,"Díaz Martínez","saved","regular","right foot","C�sar",""
"6942",775424,"AlcorcÃ³n",88.5,49.9,53.1,22.8,54323,"Rodríguez Sánchez","goal","regular","right foot","David",""
"6943",775459,"Racing de Santander",88.5,50,46.1,10.8,107604,"Koné","saved","regular","right foot","Mamadou",""
"6944",775454,"Las Palmas",88.5,50,46.1,1.3,18307,"Figueroa Cabrera","goal","regular","left foot","Jeronimo",""
"6945",775465,"Ponferradina",88.5,50,53.7,1.9,87763,"de Souza Fonseca","saved","regular","right foot","Yuri",""
"6946",775461,"Barcelona B",88.5,50,54,2.5,108438,"Ramírez","goal","regular","right foot","Sandro",""
"6947",775467,"Lugo",88.5,50,50.8,13.3,20611,"Pita ","saved","regular","right foot","Carlos",""
"6948",775473,"Barcelona B",88.5,50,57.5,2.8,108438,"Ramírez","miss","regular","right foot","Sandro",""
"6949",775489,"Lugo",88.5,50,46,14.6,126272,"Coronado Plá","saved","regular","right foot","Manuel",""
"6950",775493,"Racing de Santander",88.5,50,49.7,13.9,88507,"Sáiz Soria","saved","regular","right foot","Javier",""
"6951",775498,"Girona",88.5,50,46.7,1.3,139472,"Granell","goal","regular","left foot","Alex",""
"6952",775498,"Girona",88.5,50,54.3,1.3,51919,"Sandaza","goal","regular","right foot","Francisco",""
"6953",775497,"Barcelona B",88.7,49.8,46.6,1.9,106461,"Gabarrón Gil","goal","regular","right foot","Patricio",""
"6954",775497,"Mallorca",88.5,50,45.9,5.7,82696,"Moreno Barroso","goal","regular","right foot","Jos� Luis",""
"6955",775506,"Real Zaragoza",88.5,50,50.7,6.3,83091,"González Tomás","goal","regular","right foot","Borja",""
"6956",775506,"Llagostera",88.5,50,47.9,10.1,59339,"Perea","saved","regular","right foot","Alberto",""
"6957",775484,"Real Valladolid",88.5,50,53,23.4,11656,"González Marcos","goal","regular","right foot","�scar Javier",""
"6958",775496,"Albacete",88.5,50,45.5,1.9,89787,"Cruz Gil","goal","regular","left foot","Rub�n",""
"6959",775496,"Albacete",88.5,50,46.8,20.9,89787,"Cruz Gil","goal","regular","left foot","Rub�n",""
"6960",775509,"Real Betis",88.5,50,53.4,0.6,20680,"Castro","goal","regular","right foot","Rub�n",""
"6961",775519,"Racing de Santander",88.5,50,52.7,1.9,93512,"Granero Niñerola","saved","regular","left foot","Borja",""
"6962",775523,"Osasuna",88.5,50,47.5,13.3,90402,"Torres","goal","regular","right foot","Roberto",""
